id,url,title,price,price_per_m2,rooms,area,floor,total_floors,address,district,city
1009096451,https://krisha.kz/a/show/1009096451,2-комнатная квартира · 50.9 м² · 3/3 этаж,38400000,754420,2,50.9,3,3,"Жетысуский р-н, мкр Дорожник 44 — Мкр Кокмайса 44",Жетысуский р-н,Алматы
1008971717,https://krisha.kz/a/show/1008971717,3-комнатная квартира · 99.2 м² · 9/18 этаж,95000000,957661,3,99.2,9,18,"Бостандыкский р-н, Абая 164к2 — Брусиловского",Бостандыкский р-н,Алматы
1008937981,https://krisha.kz/a/show/1008937981,1-комнатная квартира · 45.18 м² · 5/9 этаж,23000000,509075,1,45.18,5,9,"Жетысуский р-н, мкр Кемел (Первомайское), Бурундайская 91",Жетысуский р-н,Алматы
1008916447,https://krisha.kz/a/show/1008916447,2-комнатная квартира · 44 м² · 4/9 этаж,33900000,770455,2,44,4,9,"Нура р-н, Ильяс Омаров 27",Нура р-н,Астана
1008584197,https://krisha.kz/a/show/1008584197,4-комнатная квартира · 76 м² · 5/5 этаж,40000000,526316,4,76,5,5,"Жетысуский р-н, мкр Айнабулак-3 119",Жетысуский р-н,Алматы
1008411683,https://krisha.kz/a/show/1008411683,4-комнатная квартира · 106.78 м² · 11/14 этаж,58000000,543173,4,106.78,11,14,"Нура р-н, Казыбек би 41/1 — Улы дала",Нура р-н,Астана
1008411664,https://krisha.kz/a/show/1008411664,2-комнатная квартира · 85 м² · 6/12 этаж,47400000,557647,2,85,6,12,"Есильский р-н, мкр Шубар, Сарайшык — Байтерек, Парк Жетысу",Есильский р-н,Астана
1008146867,https://krisha.kz/a/show/1008146867,3-комнатная квартира · 68.8 м² · 10/12 этаж,50000000,726744,3,68.8,10,12,"Жетысуский р-н, Райымбека 259",Жетысуский р-н,Алматы
1007522052,https://krisha.kz/a/show/1007522052,1-комнатная квартира · 44.6 м² · 8/9 этаж,26000000,582960,1,44.6,8,9,"Наурызбайский р-н, мкр Шугыла, Микрорайон «Шугыла» 341/4к2 — Абая Алатау",Наурызбайский р-н,Алматы
1007450485,https://krisha.kz/a/show/1007450485,2-комнатная квартира · 43.8 м² · 8/13 этаж,31000000,707763,2,43.8,8,13,"Ауэзовский р-н, Райымбека — Озера Сайран",Ауэзовский р-н,Алматы
1006824947,https://krisha.kz/a/show/1006824947,3-комнатная квартира · 100 м² · 13/16 этаж,71000000,710000,3,100,13,16,"Бостандыкский р-н, Абая 150/230",Бостандыкский р-н,Алматы
1004539127,https://krisha.kz/a/show/1004539127,3-комнатная квартира · 93 м² · 9/9 этаж,48000000,516129,3,93,9,9,"Жетысуский р-н, Кулагер",Жетысуский р-н,Алматы
1003987854,https://krisha.kz/a/show/1003987854,3-комнатная квартира · 54.2 м² · 2/4 этаж,44000000,811808,3,54.2,2,4,"Бостандыкский р-н, Тимирязева 66А",Бостандыкский р-н,Алматы
1001553316,https://krisha.kz/a/show/1001553316,3-комнатная квартира · 87 м² · 8/9 этаж,33000000,379310,3,87,8,9,"Сарыарка р-н, Женис 51/1 — Бестерек",Сарыарка р-н,Астана
1003290565,https://krisha.kz/a/show/1003290565,4-комнатная квартира · 120.27 м²,92006550,765000,4,120.27,,,"Есильский р-н, Турар Рыскулов 18/7",Есильский р-н,Астана
1003290033,https://krisha.kz/a/show/1003290033,1-комнатная квартира · 60.7 м²,42490000,700000,1,60.7,,,"Ауэзовский р-н, мкр Жетысу-3 55А",Ауэзовский р-н,Алматы
1000457816,https://krisha.kz/a/show/1000457816,2-комнатная квартира · 64.66 м²,27157200,420000,2,64.66,,,с. Тузусай,с. Тузусай,Тузусай
762070738,https://krisha.kz/a/show/762070738,1-комнатная квартира · 43.49 м²,35493960,816141,1,43.49,,,"Алатауский р-н, мкр Дарабоз, Бауыржана Момышулы 11/12а",Алатауский р-н,Алматы
